,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
11459,Cottage Garden,2017-11-01,69,13,6.99,,
11460,DOA6 Happy Wedding Costume Vol.2 Set,2019-03-28,69,13,19.99,,
11461,Corpse disaster-survivors,2020-03-26,69,13,2.39,,
11462,Venture Games,,69,13,2.38,,
11463,The Great Tournament 2,2018-02-26,69,13,2.39,,
11464,Battle of Empires : 1914-1918 - German campaign,2015-12-11,69,13,3.99,,
11465,A Detective's Novel,2016-07-28,69,13,0.99,,
11466,Black Jack Story,2018-04-25,69,13,0.99,0.74,25.0
11467,Tom Clancy’s The Division™,2016-03-07,68,61805,29.99,,
11468,SCUM,2018-08-29,68,32267,24.99,,
11469,Miscreated Iron Sons' Edition,,68,22150,33.22,,
11470,Miscreated,2018-12-18,68,21995,16.79,,
11471,Gold Rush: The Game - Parker's Edition,,68,7250,31.47,,
11472,Gold Rush: The Game - Collector's Edition,,68,7148,26.98,,
11473,Gold Rush: The Game,2017-10-13,68,7094,19.99,,
11474,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,68,5799,49.99,,
11475,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,68,5799,49.99,,
11476,PixARK,2019-05-31,68,5127,33.99,,
11477,Battlefleet Gothic: Armada - Complete Edition,,68,4228,35.66,,
11478,Duke Nukem Forever Collection,2012-07-12,68,4011,35.95,,
11479,Duke Nukem Forever,2011-06-09,68,3954,19.99,,
11480,Blockland,2013-12-16,68,3262,8.19,,
11481,Last Year,2019-12-09,68,2621,16.79,,
11482,Battlestations Collection,,68,2211,11.98,,
11483,StarMade,2014-12-04,68,2036,14.99,,
11484,The Sparkle Bundle,,68,1898,7.47,,
11485,Merchants Chest Bundle,,68,1872,65.16,,
11486,Call of Cthulhu®: Dark Corners of the Earth,2009-06-16,68,1885,4.99,,
11487,WWE 2K19,2018-10-08,68,1823,49.99,,
11488,WRC 7 FIA World Rally Championship,2017-09-15,68,1649,39.99,,
11489,Rise of the Triad,2013-07-31,68,1596,14.99,,
11490,Kholat,2015-06-09,68,1571,17.99,12.05,33.0
11491,The Technomancer,2016-06-28,68,1560,19.99,,
11492,Van Helsing II : Complete Pack,,68,1508,19.99,,
11493,BloodRayne Collection,,68,1300,25.47,,
11494,Notruf 112 | Emergency Call 112,2016-11-09,68,1226,19.95,9.97,50.0
11495,Darkest Dungeon®: The Crimson Court,2017-06-19,68,1169,9.99,,
11496,Arma 3 Contact,2019-07-25,68,1166,24.99,,
11497,Sinister City,2014-10-20,68,1126,0.99,,
11498,Warhammer Quest 1 &amp; 2,,68,804,27.98,,
11499,RISK™: Factions,2011-03-08,68,744,9.99,,
11500,Jagged Alliance - Back in Action,2012-02-09,68,687,19.99,,
11501,Disciples III: Reincarnation,2014-02-14,68,704,14.99,,
11502,Ninja Stealth Collection,,68,697,2.37,1.77,25.0
11503,Dungeon Rushers - Deluxe Edition,,68,662,24.95,9.58,62.0
11504,Pastelia Stories,2017-03-16,68,648,9.99,,
11505,Dungeon Rushers,2016-09-06,68,659,14.99,3.74,75.0
11506,Gratuitous Space Battles Ultimate Collection,,68,632,19.99,,
11507,The Guild II + Pirates of the European Seas,2010-06-24,68,601,14.99,,
11508,Cities: Skylines - Community Content Bundle,,68,578,29.94,14.94,50.0
11509,River City Super Sports Challenge ~All Stars Special~,2015-12-17,68,556,19.99,,
11510,Perpetuum,2014-10-17,68,576,4.99,,
11511,Resident Evil 7 - Season Pass,2017-01-23,68,558,29.99,,
11512,PAYDAY 2: h3h3 Character Pack,2017-11-22,68,555,4.99,,
11513,H-Hour: World's Elite,2020-02-17,68,539,10.79,,
11514,Seeking Dawn,2018-07-12,68,524,24.99,7.49,70.0
11515,PAYDAY 2: Gage Weapon Pack #01,2013-12-05,68,518,0.99,,
11516,Telling Lies,2019-08-23,68,532,16.79,,
11517,Home Wars,2017-06-13,68,519,9.99,,
11518,Blood Omen 2: Legacy of Kain,2013-09-24,68,514,5.99,,
11519,8Floor Tower Defense Bundle,,68,478,48.28,13.17,73.0
11520,Freedom Force: Freedom Pack,2009-05-29,68,448,6.49,,
11521,Marauder,2014-04-04,68,456,9.99,,
11522,Kingdom Come: Deliverance – Band of Bastards,2019-02-05,68,442,6.99,,
11523,PAYDAY 2: Armored Transport,2013-11-14,68,424,1.99,,
11524,The Guild II,2010-06-24,68,444,9.99,,
11525,Stranger of Sword City,2016-06-06,68,396,19.99,,
11526,Wildlife Park 2,2014-07-17,68,374,6.99,,
11527,Blood Feed,2017-07-19,68,382,4.99,,
11528,DRIFT21,2020-05-07,68,357,24.99,,
11529,Pic Character Generator - Modern Starter Bundle,,68,364,9.99,,
11530,Mortal Kombat 11 Kombat Pack,2019-04-23,68,347,19.99,,
11531,Celestian Tales: Old North Complete Story Pack,,68,325,24.96,3.44,86.0
11532,Polaris Sector,2016-03-22,68,322,36.99,,
11533,Atomic Society,2018-10-15,68,325,14.99,,
11534,Tap Heroes,2015-06-05,68,311,2.99,,
11535,Celestian Tales: Old North,2015-08-10,68,302,12.99,1.94,85.0
11536,SG/ZH: School Girl/Zombie Hunter,2018-06-05,68,286,33.99,,
11537,Murderous Pursuits,2018-04-26,68,279,8.99,,
11538,Order of War™,2009-09-22,68,261,7.99,,
11539,Journey Of Life,2018-05-02,68,270,12.49,,
11540,The Desolation of Mordor Story Expansion,2018-05-08,68,263,19.99,,
11541,NASCAR Heat 3,2018-09-07,68,260,16.79,,
11542,Space Junkies™,2019-03-26,68,260,19.99,4.99,75.0
11543,NEStalgia,2014-04-15,68,226,9.99,,
11544,Euro Truck Simulator 2 - HS-Schoch Tuning Pack,2020-03-19,68,221,1.99,,
11545,Galactic Bundle,,68,227,29.83,,
11546,TAPP - Translator APPlication,2019-09-30,68,215,4.99,,
11547,Tech Support: Error Unknown,2019-02-27,68,211,9.99,,
11548,Slave's Sword 2,2019-02-21,68,213,12.49,,
11549,Torque Drift,2020-03-24,68,179,12.99,,
11550,Farming Simulator 19 - Platinum Expansion,2019-10-22,68,182,19.99,,
11551,State of Decay - Lifeline,2014-05-30,68,175,6.99,,
11552,3D Custom Lady Maker,2019-04-19,68,170,3.99,,
11553,The Pit: Infinity,2019-11-12,68,164,16.79,,
11554,Europa Universalis: Rome - Gold Edition ,2008-12-18,68,169,9.99,2.49,75.0
11555,Game Character Hub,2014-05-23,68,169,14.99,,
11556,The Healer Deal Bundle,,68,165,13.42,,
11557,The Undead Bundle,,68,160,2.78,2.21,21.0
11558,Seek Girl - Charming girl,2019-04-30,68,159,0.79,,
11559,Perfect Heist,2018-08-17,68,161,4.99,,
11560,Gecata by Movavi 5 - Game Recording Software,2018-03-07,68,150,19.95,,
11561,Mortars VR,2018-01-03,68,135,0.99,,
11562,Planet Evolution PC Live Wallpaper,2019-02-22,68,127,2.39,,
11563,Can't Drive This,2016-09-25,68,122,19.99,,
11564,City Life 2008,2008-09-29,68,123,9.99,,
11565,"Northgard - Nidhogg, Clan of the Dragon",2018-12-04,68,122,4.49,,
11566,克苏鲁异闻录,2019-08-28,68,116,10.79,4.31,60.0
11567,Dracula: Origin,2008-08-07,68,117,9.99,,
11568,Mosaic 1% Edition,,68,111,24.81,,
11569,Who Is This Man,2019-06-28,68,109,8.19,,
11570,Typefighters (Steam Edition),2016-04-18,68,111,1.99,,
11571,The Great Art Race,,68,102,4.99,,
11572,Movavi Video Suite 2020 Steam Edition + Movavi Photo Editor,,68,96,63.92,,
11573,Mechanism,2018-07-19,68,93,10.79,,
11574,Operation Abyss: New Tokyo Legacy,2017-03-27,68,94,19.99,,
11575,FIVE: Guardians of David,2015-11-24,68,90,7.99,,
11576,Draw Rider,2016-03-31,68,91,1.59,,
11577,Sudden Strike 3,2017-05-22,68,88,5.99,1.79,70.0
11578,Bus Simulator 18 - Official map extension,2019-05-22,68,85,12.99,,
11579,Conan Exiles - Jewel of the West Pack,2018-08-02,68,80,9.99,6.99,30.0
11580,Disney Alice in Wonderland,2014-10-06,68,80,16.79,,
11581,Invasion 2037,2019-11-05,68,80,11.49,,
11582,Front Defense,2017-07-07,68,77,8.19,,
11583,Flight to Eternity,2017-05-30,68,76,0.79,,
11584,Street Fighter V - Champion Edition Upgrade Kit,,68,64,24.99,,
11585,Train Simulator: North London Line Route Add-On,2015-10-22,68,61,19.99,,
11586,Seek Girl Ⅱ: Fresh,2020-01-09,68,63,0.79,,
11587,Smart City Plan,2020-03-06,68,63,13.29,,
11588,Borderlands 2: Siren Glitter and Gore Pack,2013-07-02,68,58,0.99,,
11589,Rytmik Lite Chiptune Synthesizer,2016-01-26,68,60,5.99,1.19,80.0
11590,Reaching for Petals,2017-09-04,68,60,4.99,,
11591,Action Alien,2015-06-26,68,57,3.99,1.99,50.0
11592,RUSH: A Disney • PIXAR Adventure,2018-09-14,68,54,16.79,,
11593,Genetic Disaster,2017-12-18,68,54,14.99,9.89,34.0
11594,Megapolis,2016-06-15,68,51,3.99,,
11595,Tomb Raider: Pistol Silencer,2013-03-26,68,45,0.79,,
11596,Traffic Giant,2018-06-15,68,45,9.99,,
11597,DigiFish Aqua Real 2,2015-06-10,68,45,9.99,,
11598,Spellsword Cards: Origins,2019-06-06,68,47,8.19,,
11599,Indie Future Racing Bundle,,68,45,9.78,,
11600,Assassin’s Creed® IV Black Flag™ - Time saver: Technology Pack,2013-11-19,68,44,1.99,,
11601,Forklift Simulator 2019,2018-11-23,68,44,19.99,,
11602,Bad Day,2018-03-02,68,44,0.79,0.39,51.0
11603,Scary Girl,2012-04-09,68,44,6.99,,
11604,Dark Fall 2: Lights Out,2013-12-03,68,44,4.99,,
11605,Borderlands 2: Mechromancer Beatmaster Pack,2013-09-03,68,44,0.99,,
11606,东方驾考模拟器|Chinese Driving License Test,2018-12-28,68,41,0.79,0.39,51.0
11607,The Legend of Bean,2017-12-21,68,41,2.39,,
11608,Wind Child,2016-03-18,68,41,4.99,,
11609,Starlight Drifter,2018-06-29,68,38,16.79,,
11610,Castle Woodwarf 2,2019-10-04,68,38,5.69,,
11611,MEMETYPER,2017-09-27,68,38,0.79,,
11612,Planet Coaster - Classic Rides Collection,2019-04-16,68,35,10.99,,
11613,Tomb Raider: Animal Instinct,2013-03-26,68,35,0.79,,
11614,春风 | Spring Breeze,2018-01-19,68,35,0.79,0.39,51.0
11615,Aim Master,2018-11-21,68,32,2.39,,
11616,GRID Autosport - Drag Pack,2014-10-14,68,32,4.99,,
11617,Dungeons 3 - Famous Last Words,2019-05-17,68,32,4.99,,
11618,Dwarf Shop,2020-03-19,68,32,8.19,,
11619,DOA6 Season Pass 2,2019-07-22,68,32,79.99,,
11620,Dubstep Abasralsa,2018-05-30,68,32,0.79,0.39,51.0
11621,Abstractanoid,2018-03-26,68,32,1.99,0.49,75.0
11622,Summer Islands,2019-06-21,68,29,16.99,,
11623,ShapeLab,2017-03-23,68,29,19.99,,
11624,Train Simulator: DB BR 411 'ICE-T' EMU Add-On,2013-11-07,68,29,13.99,,
11625,Deadly Dozen,2017-01-26,68,29,9.99,,
11626,Knights of Pen and Paper - Haunted Fall,2014-11-06,68,25,4.99,2.49,50.0
11627,NOBUNAGA’S AMBITION: Reppuden with Power Up Kit / 信長の野望・烈風伝 with パワーアップキット,2017-08-29,68,25,19.99,,
11628,Fairy Fencer F: Advent Dark Force DLC Pack | DLCセット | 下載內容套組,,68,25,5.18,,
11629,Death in the Water,2019-10-10,68,25,2.39,,
11630,Train Simulator: Rhine Valley: Freiburg - Basel Route Add-On,2018-11-15,68,22,29.99,,
11631,Setup Master,,68,22,30.22,,
11632,Draw a Stickman: EPIC 3,2020-05-06,68,22,6.59,,
11633,Total War: SHOGUN 2: Saints and Heroes Unit Pack,2012-07-26,68,22,2.99,,
11634,Formula Retro Racing,2020-05-14,68,22,10.79,,
11635,Paladins - Obsidian Pack,2018-11-20,68,22,14.99,,
11636,FSX: Steam Edition - Piper PA-34-200T Seneca II Add-On,2015-04-29,68,22,22.99,,
11637,Sniper Ghost Warrior 3 - Multiplayer Map Pack,2018-01-26,68,22,9.99,3.99,60.0
11638,Fallout New Vegas Courier's Stash,2011-09-27,68,22,0.99,,
11639,Car Mechanic Simulator 2018 - Lotus DLC,2018-03-05,68,19,4.99,2.89,42.0
11640,Droid Character Pack,2016-10-05,68,19,1.99,,
11641,The Sims™ 3 High-End Loft Stuff,2011-01-27,68,19,19.99,,
11642,Train Simulator: NKP S-2 Class 'Berkshire' Loco Add-On,2013-06-13,68,19,13.99,,
11643,Frosted Wings Studio Bundle,,68,19,5.57,1.57,72.0
11644,TITANIC Shipwreck Exploration,2018-10-29,68,19,19.99,,
11645,The Longest Five Minutes,2018-02-13,68,19,19.99,,
11646,The Universim - Collector's Pack (Vol 1),2018-08-28,68,19,5.69,,
11647,Hero or Villain: Genesis,2019-09-19,68,19,3.29,,
11648,RADtv,2019-08-02,68,19,7.99,,
11649,Mysteries of the Past: Shadow of the Daemon Collector's Edition,2016-02-19,68,19,9.99,,
11650,Swim Out,2017-09-14,68,19,5.99,,
11651,Railway Empire - Northern Europe,2019-12-13,68,16,7.99,,
11652,Invasion of Barbarians,2017-07-16,68,16,16.79,,
11653,Star Conflict: Pirate Pack - Jolly Roger,2013-07-31,68,16,49.99,,
11654,FSX: Steam Edition - Piper PA-32R-301 Saratoga SP Add-On,2015-04-21,68,16,22.99,,
11655,FSX Steam Edition: Rockwell B-1B Lancer™ Add-On,2016-08-23,68,16,16.99,,
11656,The Curse of the Werewolves,2014-09-01,68,16,9.99,,
11657,Rex Nebular and the Cosmic Gender Bender,2014-10-17,68,16,6.99,1.74,75.0
11658,Painkiller Hell &amp; Damnation: City Critters,2013-12-13,68,16,6.99,,
11659,Ace Of Words,2016-05-13,68,16,4.99,,
11660,Roads of Rome 3,2015-10-19,68,16,3.99,,
11661,SENRAN KAGURA ESTIVAL VERSUS - Mission Pack,2017-03-17,68,16,5.99,,
11662,Batman™: Arkham Knight - Crime Fighter Challenge Pack #1,2015-10-28,68,16,1.99,,
11663,Jerking Off In Class Simulator,2020-02-27,68,16,0.79,,
11664,Running Man 3D,2018-08-21,68,16,0.79,,
11665,CoH 2 - OKW Commander: Elite Armor Doctrine,2014-07-23,68,16,3.99,,
11666,Grand Theft Auto IV: The Complete Edition,2008-12-02,67,52915,19.99,,
11667,Football  PES 2020,2019-09-10,67,16844,0.0,,
11668,Football  PES 2020,2019-09-10,67,16844,0.0,,
11669,Last Oasis,2020-03-26,67,15908,24.99,,
11670,The Crew™,2014-12-02,67,13039,29.99,,
11671,The Crew™,2014-12-02,67,13039,29.99,,
11672,Discovery TV Series Simulators (Gold Rush + Diesel Brothers),,67,7863,33.1,,
11673,Stronghold Crusader 2,2014-09-22,67,5804,29.99,,
11674,Prototype 2,2012-07-24,67,5284,29.99,,
11675,Outlaws of the Old West,2019-03-12,67,4090,16.79,,
11676,Citadel: Forged with Fire,2019-11-01,67,4185,33.99,,
11677,Anno 2205™,2015-11-02,67,3954,39.99,,
11678,Starpoint Gemini Trilogy,,67,3232,94.12,76.33,19.0
11679,Sonic Forces,2017-11-07,67,3244,39.99,,
11680,ArcheAge: Unchained,2019-10-17,67,2279,25.99,,
11681,ArcheAge: Unchained - Gold Edition,2019-10-24,67,2284,49.99,,
11682,Pure Farming 2018 &amp; Emergency Call 112 - Bundle,,67,1910,39.94,26.96,32.0
11683,Battle of Empires: 1914-1918. Deluxe,,67,1773,36.37,,
11684,Battle of Empires: 1914-1918 - Classic,,67,1730,20.51,,
11685,Farm Manager 2018 - DLC Bundle,,67,1645,23.98,6.21,74.0
11686,Farm Manager 2018,2018-04-06,67,1625,19.99,4.59,77.0
11687,Secret of Mana,2018-02-15,67,1478,39.99,,
11688,Sid Meier's Railroads!,2007-05-04,67,1434,9.99,,
11689,Platinum Edition Bundle,,67,1359,29.38,,
11690,Trainz: A New Era,2015-05-14,67,1323,16.79,,
11691,Port Royale 3 Gold and Patrician IV Gold - Double Pack,2014-07-25,67,1183,29.99,,
11692,XERA: Survival,2019-05-24,67,1158,16.79,,
11693,Toukiden: Kiwami,2015-06-25,67,974,59.99,,
11694,Stygian: Reign of the Old Ones,2019-09-26,67,958,24.99,,
11695,Last Tide,2018-08-27,67,965,20.99,,
11696,DRAGON QUEST HEROES™ Slime Edition,2015-12-03,67,929,39.99,,
11697,Medieval: Total War™ - Collection,2015-06-25,67,880,9.99,,
11698,Warlock 2: The Exiled,,67,731,19.99,4.99,75.0
11699,Pure Farming 2018,2018-03-13,67,684,19.99,,
11700,Euro Truck Simulator 2 - Turkish Paint Jobs Pack,2016-04-19,67,638,0.99,,
11701,Infectonator: Survivors,2016-08-08,67,646,9.99,,
11702,Forged Battalion,2018-08-14,67,642,19.99,,
11703,NecroVision,2009-05-20,67,637,4.99,,
11704,Arma 3 Jets,2017-05-16,67,584,8.99,,
11705,Total War Saga: FALL OF THE SAMURAI,2012-03-22,67,575,29.99,,
11706,Flying Tigers: Shadows Over China,2017-05-29,67,577,12.49,,
11707,Rogue Warrior,2009-12-01,67,547,4.99,,
11708,Legend of Mysteria RPG,2015-10-09,67,541,1.99,0.39,80.0
11709,Formata,2017-12-07,67,542,8.19,,
11710,The Dark Occult,2018-09-25,67,529,13.35,,
11711,Survivor Squad,2013-11-08,67,534,2.99,,
11712,Pathfinder Adventures,2017-06-15,67,458,9.99,,
11713,Borderlands 2 VR,2019-10-22,67,434,49.99,,
11714,MX vs ATV All Out,2018-03-27,67,415,39.99,13.19,67.0
11715,NASCAR '15 Victory Edition,2015-05-22,67,392,8.19,,
11716,FAST BEAT LOOP RACER GT | 環狀賽車GT,2018-05-17,67,374,9.99,,
11717,King Arthur I Complete Edition,,67,366,26.94,9.84,63.0
11718,Dying Light: Season Pass,2015-01-27,67,361,29.99,,
11719,Sol 0: Mars Colonization,2016-01-15,67,354,3.99,,
11720,White Noise Online,2014-05-22,67,331,4.99,,
11721,Tower 57,2017-11-16,67,314,11.99,,
11722,KILL la KILL -IF,2019-07-25,67,307,19.99,,
11723,MX vs. ATV Unleashed,2015-04-16,67,287,9.99,2.49,75.0
11724,Putrefaction,2015-08-07,67,284,0.99,,
11725,Tools Up!,2019-12-03,75,204,16.79,,
11726,~necromancy~Emily's Escape,2018-12-21,67,276,12.49,,
11727,Mayjasmine Episode01 - What is God?,2015-12-02,67,253,9.99,,
11728,The Treasures of Montezuma 3,2014-10-16,67,220,3.99,,
11729,Princess Maker Refine,2017-02-17,67,214,9.99,,
11730,Tinboy,2015-08-31,67,204,1.59,,
11731,Death Stair,2016-08-16,67,190,1.59,0.39,75.0
11732,Expansion - Crusader Kings II: Jade Dragon,2017-11-16,67,195,14.99,7.49,50.0
11733,Riding Bundle,,67,184,34.95,,
11734,Frozen Synapse 2,2018-09-13,67,179,24.99,,
11735,Adam's Venture: Origins,2016-04-01,67,185,14.99,,
11736,March of the Eagles,2013-02-18,67,166,19.99,4.99,75.0
11737,heHunter: Call of the Wild™ - Wild Goose Chase Gear,2018-06-12,67,156,3.99,,
11738,Aim Trainer Pro + Mouse Enhancer Pro,,67,153,10.96,,
11739,Vulture for NetHack,2015-02-02,67,146,2.49,,
11740,Plastic soldiers,2018-11-16,67,137,0.79,,
11741,Doctor Who: The Edge Of Time,2019-11-12,67,116,24.99,,
11742,Marle: The Labyrinth of the Black Sea,2019-05-09,67,99,10.79,,
11743,Call of Duty®: Infinite Warfare - Season Pass,2016-11-04,67,96,49.99,24.99,50.0
11744,Romance of the Three Kingdoms XII with Power Up Kit,2018-01-16,67,100,36.99,,
11745,BATTLETECH Heavy Metal,2019-11-21,67,92,19.99,9.99,50.0
11746,Layers of Fear VR,2019-12-10,67,89,19.99,,
11747,LEGO® MARVEL's Avengers Season Pass,2016-01-26,67,91,9.99,,
11748,ClearMem :: Free Up Your RAM,2018-07-11,67,87,8.19,,
11749,Save One More,2018-05-30,67,89,8.19,,
11750,Sarcophag,2018-04-05,67,91,0.99,,
11751,EXTREME RACING,,67,91,10.03,1.94,81.0
11752,Close Combat - Panthers in the Fog,2015-05-14,67,86,36.99,,
11753,Party Hard: High Crimes DLC,2016-11-10,67,86,4.99,,
11754,Miner Meltdown,2017-08-02,67,86,5.69,,
11755,+1,,67,81,4.58,,
11756,Siege Wars,2015-07-30,67,80,1.99,,
11757,Axis Football 2016,2016-07-29,67,77,19.99,,
11758,Shogo: Mobile Armor Division,2017-04-14,67,76,9.99,,
11759,Armor Clash 3 [RTS],2019-08-01,67,68,12.49,,
11760,Summer Fling,2016-06-16,67,65,10.79,,
11761,BitMaster,2016-10-12,67,64,2.39,0.59,75.0
11762,NOBUNAGA'S AMBITION: Tendou with Power Up Kit / 信長の野望・天道 with パワーアップキット,2015-06-25,67,59,50.99,,
11763,Antisphere,2017-07-14,67,61,1.99,,
11764,Idle Hunter,2018-08-23,67,61,0.79,,
11765,Summon of Asmodeus,2019-04-30,67,58,12.49,,
11766,Love ritual,2019-04-09,67,58,9.99,,
11767,JQ: countries,2018-02-15,67,56,0.78,0.39,50.0
11768,Naval Action - Hercules,2018-06-22,67,53,8.19,,
11769,FPS Training,2018-12-14,67,55,3.99,,
11770,Subterra,2017-09-18,67,53,4.99,0.49,90.0
11771,Eve of Destruction - REDUX VIETNAM,2016-09-29,67,53,9.99,,
11772,Little Dragons Café,2018-11-15,67,49,49.99,,
11773,Cake Mania Collection,2009-07-17,67,46,13.99,,
11774,Trivia Vault: Super Heroes Trivia,2017-08-15,67,46,9.99,,
11775,Galactic Civilizations III: Intrigue Expansion,2018-04-11,67,43,19.99,,
11776,A-10A for DCS World,2013-08-16,67,43,12.7,6.35,50.0
11777,2018 Edition Add-on - Power &amp; Revolution DLC,2018-02-07,67,43,19.99,,
11778,RESEQUENCED,2020-04-23,67,43,6.59,,
11779,3D Visual Novel Maker,2019-11-23,67,43,4.99,,
11780,Dinosaurs Prehistoric Survivors,2018-05-18,67,43,12.99,,
11781,Combat Tested,2018-03-23,67,43,19.99,,
11782,Deluxe Content - Cossacks 3: Rise to Glory,2017-02-15,67,40,4.99,,
11783,Rise of Flight: Channel Battles,2015-06-02,67,34,22.99,,
11784,Order of Battle: Blitzkrieg,2016-11-10,67,34,14.99,,
11785,Stop Santa - Tower Defense,2017-12-04,67,34,0.99,,
11786,King's Bounty: Warriors of the North - Ice and Fire,2014-01-30,67,31,4.99,,
11787,Mansions of Madness - What Lies Within,2016-12-19,67,31,4.99,,
11788,Stormhill Mystery: Family Shadows,2019-01-28,67,31,6.59,,
11789,RPG Maker MV - GENE,2018-02-20,67,31,19.99,,
11790,MAGIX Video deluxe 2019 Steam Edition,2018-09-26,67,31,54.99,21.99,60.0
11791,FSX: Steam Edition - Natural Tree Environment X Add-On,2016-01-12,67,31,11.99,,
11792,Lux Alliance,2017-06-08,67,31,9.99,3.39,66.0
11793,Ark Noir,2018-07-12,67,31,8.19,,
11794,Mental Asylum VR,2017-01-13,67,31,0.79,,
11795,DRAGON BALL XENOVERSE 2 - Ultra Pack 1,2019-07-10,67,28,7.99,,
11796,RPG Maker MV - MADO,2017-09-06,67,28,9.99,,
11797,Guards of the Gate,2019-01-30,67,28,8.19,,
11798,Heroes of Loot,2015-05-25,67,28,4.99,2.24,55.0
11799,Chocolate makes you happy 2,2017-12-18,67,28,0.99,0.39,61.0
11800,Grimtale Island,2017-09-03,67,28,0.79,,
11801,Assassin's Creed® Unity,2014-11-12,66,23640,29.99,,
11802,"Warhammer® 40,000: Dawn of War - Core Collection",,66,16029,69.32,,
11803,Train Simulator 2020 Swiss Edition,,66,11777,39.99,,
11804,Train Simulator 2020 Chinese Edition,2019-10-17,66,11850,39.99,,
11805,Train Simulator 2020 US Edition,2019-10-17,66,11720,39.99,,
11806,Train Simulator 2020 German Edition,2019-10-17,66,11720,39.99,,
11807,Train Simulator 2020,2019-09-19,66,11697,29.99,,
11808,Train Simulator 2020 UK Edition,2019-10-17,66,11697,39.99,,
11809,M&amp;M Heroes Bundle,,66,6775,47.97,,
11810,Stellaris: Ascension Pack,,66,5393,105.92,48.68,54.0
11811,Trine 3: The Artifacts of Power,2015-08-20,66,4955,21.99,,
11812,Blitzkrieg: Complete Collection,,66,4983,26.96,7.09,74.0
11813,Amnesia: A Machine for Pigs,2013-09-10,66,4653,19.99,,
11814,The Bureau: XCOM Declassified,2013-08-22,66,4104,19.99,,
11815,Tom Clancy's Ghost Recon: Future Soldier™,2012-06-26,66,3128,14.99,,
11816,Just Cause,2007-03-15,66,2576,6.99,,
11817,ArcheAge: Unchained - Archeum Edition,2019-10-24,66,2295,79.99,,
11818,Virginia,2016-09-22,66,2069,9.99,,
11819,Kane and Lynch: Dead Men™,2007-12-13,66,1886,6.99,,
11820,Battlestations Pacific,2009-05-12,66,1748,8.99,,
11821,Trials Fusion™,2014-04-24,66,1720,19.99,,
11822,Pool Nation FX Unlocked and Unlock ALL Assets Bundle,,66,1420,10.79,,
11823,Pool Nation FX Full Game Unlocked,,66,1416,8.19,,
11824,NARUTO: Ultimate Ninja STORM,2017-08-25,66,1276,19.99,,
11825,The Golf Club &amp; The Golf Club VR Design &amp; Play,,66,1283,30.93,,
11826,Corobundle! Games developed by Carlos Coronado.,,66,984,34.37,,
11827,The Giants Game Pack,,66,897,19.99,,
11828,Prince of Persia: The Forgotten Sands™,2010-06-08,66,858,9.99,,
11829,Anna - Extended Edition,2013-04-12,66,856,9.99,,
11830,Total War: ATTILA - Age of Charlemagne Campaign Pack,2015-12-10,66,831,16.99,,
11831,Valkeala Software Bundle,,66,828,56.41,,
11832,Toren,2015-05-11,66,832,9.99,1.99,80.0
11833,Warlock 2: The Exiled Complete Edition,,66,764,64.92,20.58,68.0
11834,Wildlife Park 2 - Ultimate Edition,2014-07-17,66,665,19.99,14.99,25.0
11835,WRC 4 FIA World Rally Championship,2013-10-25,66,623,29.99,,
11836,House of Caravan,2015-04-16,66,562,1.99,0.39,80.0
11837,Otaku's Fantasy 2,2018-03-30,66,559,1.99,,
11838,"Warhammer 40,000: Deathwatch - Enhanced Edition",2015-10-16,66,557,14.99,,
11839,Zanzarah: The Hidden Portal,2015-08-20,66,540,6.99,,
11840,Immortal: Unchained - Ultimate Edition,,66,465,39.94,,
11841,YAIBA: NINJA GAIDEN Z,2014-03-21,66,434,29.99,,
11842,Stellaris: Distant Stars Story Pack,2018-05-22,66,380,9.99,4.99,50.0
11843,Construction Simulator 2 US - Pocket Edition,2018-09-12,66,336,9.99,,
11844,Godhood,2019-07-10,66,335,24.99,,
11845,Demonicon,2013-10-25,66,325,9.99,,
11846,Warm Village 暖暖村物语,2020-02-05,66,271,12.49,,
11847,Royal Bounty HD + Dwarf Tower,,66,280,3.73,,
11848,American Conquest: Fight Back,2011-08-26,66,262,4.99,,
11849,UFO: Afterlight,2014-01-06,66,251,5.99,,
11850,Marooners Deluxe Edition,,66,232,10.78,,
11851,Snooker 19,2019-04-17,66,234,34.99,,
11852,ONINAKI,2019-08-22,66,224,49.99,,
11853,Volt,2014-04-14,66,211,0.79,,
11854,Nephise,2017-03-14,66,203,1.99,0.99,50.0
11855,Overland,2019-09-19,66,202,20.99,,
11856,A Dump in the Dark,2018-01-24,66,182,1.59,,
11857,LocoSoccer,2015-12-09,66,163,0.9,0.39,57.0
11858,Doodle Date,2018-04-19,66,162,1.99,,
11859,Alien: Isolation - Crew Expendable,2014-10-06,66,157,3.99,,
11860,Expansion - Europa Universalis IV: Cradle of Civilization,2017-11-16,66,157,19.99,9.99,50.0
11861,Gish,2007-07-20,66,156,8.19,,
11862,Astray,2015-02-03,66,150,6.99,,
11863,Fire Pro DLC Bundle,,66,145,53.58,,
11864,The Goatman,2018-09-03,66,139,3.99,,
11865,Townsmen VR,2018-02-08,66,140,9.99,,
11866,The Island: Into The Mist 그 섬,2019-01-31,66,135,8.19,,
